lago,nombre_lago,fecha,satelite,nubosidad_oficial_pct,bandas_solicitadas,ruta_salida,estado_descarga,observaciones
amatitlan,Lago de Amatitlán,2025-01-28,Sentinel-2B,0.06,"B03,B04,B08",data\raw\amatitlan\amatitlan_2025-01-28_B03_B04_B08.tif,descargado_validado,
amatitlan,Lago de Amatitlán,2025-04-15,Sentinel-2A,0.09,"B03,B04,B08",data\raw\amatitlan\amatitlan_2025-04-15_B03_B04_B08.tif,descargado_validado,
amatitlan,Lago de Amatitlán,2025-04-28,Sentinel-2B,1.03,"B03,B04,B08",data\raw\amatitlan\amatitlan_2025-04-28_B03_B04_B08.tif,descargado_validado,
amatitlan,Lago de Amatitlán,2025-11-24,Sentinel-2B,0.5,"B03,B04,B08",data\raw\amatitlan\amatitlan_2025-11-24_B03_B04_B08.tif,descargado_validado,
amatitlan,Lago de Amatitlán,2026-01-08,Sentinel-2C,0.77,"B03,B04,B08",data\raw\amatitlan\amatitlan_2026-01-08_B03_B04_B08.tif,descargado_validado,
amatitlan,Lago de Amatitlán,2026-02-02,Sentinel-2B,0.39,"B03,B04,B08",data\raw\amatitlan\amatitlan_2026-02-02_B03_B04_B08.tif,descargado_validado,
amatitlan,Lago de Amatitlán,2026-02-07,Sentinel-2C,0.02,"B03,B04,B08",data\raw\amatitlan\amatitlan_2026-02-07_B03_B04_B08.tif,descargado_validado,Cobertura válida parcial aproximada: 57.1%.
amatitlan,Lago de Amatitlán,2026-03-29,Sentinel-2C,0.01,"B03,B04,B08",data\raw\amatitlan\amatitlan_2026-03-29_B03_B04_B08.tif,descargado_validado,
amatitlan,Lago de Amatitlán,2026-04-13,Sentinel-2B,0.09,"B03,B04,B08",data\raw\amatitlan\amatitlan_2026-04-13_B03_B04_B08.tif,descargado_validado,
amatitlan,Lago de Amatitlán,2026-04-28,Sentinel-2C,4.96,"B03,B04,B08",data\raw\amatitlan\amatitlan_2026-04-28_B03_B04_B08.tif,descargado_validado,
amatitlan,Lago de Amatitlán,2026-06-19,Sentinel-2A,13.0,"B03,B04,B08",data\raw\amatitlan\amatitlan_2026-06-19_B03_B04_B08.tif,descargado_validado,
atitlan,Lago de Atitlán,2025-01-18,Sentinel-2B,0.02,"B03,B04,B08",data\raw\atitlan\atitlan_2025-01-18_B03_B04_B08.tif,descargado_validado,
atitlan,Lago de Atitlán,2025-04-13,Sentinel-2C,0.54,"B03,B04,B08",data\raw\atitlan\atitlan_2025-04-13_B03_B04_B08.tif,descargado_validado,
atitlan,Lago de Atitlán,2025-05-13,Sentinel-2C,4.37,"B03,B04,B08",data\raw\atitlan\atitlan_2025-05-13_B03_B04_B08.tif,descargado_validado,
atitlan,Lago de Atitlán,2025-07-17,Sentinel-2A,3.57,"B03,B04,B08",data\raw\atitlan\atitlan_2025-07-17_B03_B04_B08.tif,descargado_validado,
atitlan,Lago de Atitlán,2025-11-21,Sentinel-2A,3.15,"B03,B04,B08",data\raw\atitlan\atitlan_2025-11-21_B03_B04_B08.tif,descargado_validado,
atitlan,Lago de Atitlán,2025-12-29,Sentinel-2C,3.17,"B03,B04,B08",data\raw\atitlan\atitlan_2025-12-29_B03_B04_B08.tif,descargado_validado,
atitlan,Lago de Atitlán,2026-02-12,Sentinel-2B,0.04,"B03,B04,B08",data\raw\atitlan\atitlan_2026-02-12_B03_B04_B08.tif,descargado_validado,
atitlan,Lago de Atitlán,2026-03-24,Sentinel-2B,3.17,"B03,B04,B08",data\raw\atitlan\atitlan_2026-03-24_B03_B04_B08.tif,descargado_validado,
atitlan,Lago de Atitlán,2026-04-13,Sentinel-2B,0.01,"B03,B04,B08",data\raw\atitlan\atitlan_2026-04-13_B03_B04_B08.tif,descargado_validado,
atitlan,Lago de Atitlán,2026-04-28,Sentinel-2C,4.96,"B03,B04,B08",data\raw\atitlan\atitlan_2026-04-28_B03_B04_B08.tif,descargado_validado,
atitlan,Lago de Atitlán,2026-07-22,Sentinel-2B,4.02,"B03,B04,B08",data\raw\atitlan\atitlan_2026-07-22_B03_B04_B08.tif,descargado_validado,
