lago,mes,n_fechas,cianobacteria_promedio_media,cianobacteria_promedio_mediana
amatitlan,1,2,18.355587005615234,18.355587005615234
amatitlan,2,2,7.294687509536743,7.294687509536743
amatitlan,3,1,17.142580032348633,17.142580032348633
amatitlan,4,4,16.035442113876343,14.941012859344482
amatitlan,6,1,63.97161865234375,63.97161865234375
amatitlan,11,1,13.280655860900879,13.280655860900879
atitlan,1,1,43.93463134765625,43.93463134765625
atitlan,2,1,5.397866725921631,5.397866725921631
atitlan,3,1,3.644007444381714,3.644007444381714
atitlan,4,3,3.3080848852793374,3.162545680999756
atitlan,5,1,3.5558950901031494,3.5558950901031494
atitlan,7,2,4.114149808883667,4.114149808883667
atitlan,11,1,9.878191947937012,9.878191947937012
atitlan,12,1,5.1785054206848145,5.1785054206848145
